2023-03-15 10:37:37,845 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-1717673874]} | ret=SUCCESS |  
2023-03-15 11:13:33,622 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg79]} | ret=SUCCESS |  
2023-03-15 11:13:33,648 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg91]} | ret=SUCCESS |  
2023-03-15 11:13:33,657 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg89]} | ret=SUCCESS |  
2023-03-15 11:13:33,671 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg97]} | ret=SUCCESS |  
2023-03-15 11:13:33,693 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg95]} | ret=SUCCESS |  
2023-03-15 11:13:33,732 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg98]} | ret=SUCCESS |  
2023-03-15 11:13:33,735 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg99]} | ret=SUCCESS |  
2023-03-15 11:14:04,437 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=INIT_MULTIPART_UPLOAD {bucket=[encrypted], path=[multipart/adjusted_length_ozone-test-3203221022], uploads=[]} | ret=SUCCESS |  
2023-03-15 11:14:06,849 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[multipart/adjusted_length_ozone-test-3203221022], uploadId=[f63da85e-b601-40f2-9673-1f16a5b90911-110027003947974707], partNumber=[1]} | ret=SUCCESS |  
2023-03-15 11:14:08,528 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[multipart/adjusted_length_ozone-test-3203221022], uploadId=[f63da85e-b601-40f2-9673-1f16a5b90911-110027003947974707], partNumber=[2]} | ret=SUCCESS |  
2023-03-15 11:14:09,884 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[encrypted], path=[multipart/adjusted_length_ozone-test-3203221022], uploadId=[f63da85e-b601-40f2-9673-1f16a5b90911-110027003947974707]} | ret=SUCCESS |  
2023-03-15 11:14:11,284 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=GET_KEY {bucket=[encrypted], path=[multipart/adjusted_length_ozone-test-3203221022]} | ret=SUCCESS |  
2023-03-15 11:14:14,864 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=INIT_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-4316839314/multipartKey], uploads=[]} | ret=SUCCESS |  
2023-03-15 11:14:16,068 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=INIT_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-4316839314/multipartKey], uploads=[]} | ret=SUCCESS |  
2023-03-15 11:14:17,923 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-4316839314/multipartKey], uploadId=[b75c0305-9494-461f-b3dc-98831ef3b6ce-110027004710944823], partNumber=[1]} | ret=SUCCESS |  
2023-03-15 11:14:19,965 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-4316839314/multipartKey], uploadId=[b75c0305-9494-461f-b3dc-98831ef3b6ce-110027004710944823], partNumber=[1]} | ret=SUCCESS |  
2023-03-15 11:14:21,113 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=INIT_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-3262310711/multipartKey1], uploads=[]} | ret=SUCCESS |  
2023-03-15 11:14:24,379 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-3262310711/multipartKey1], uploadId=[bd712e7d-02e9-4db5-a2b9-d57a5766c79e-110027005040853050], partNumber=[1]} | ret=SUCCESS |  
2023-03-15 11:14:25,805 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-3262310711/multipartKey1], uploadId=[bd712e7d-02e9-4db5-a2b9-d57a5766c79e-110027005040853050], partNumber=[2]} | ret=SUCCESS |  
2023-03-15 11:14:26,999 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-3262310711/multipartKey1], uploadId=[bd712e7d-02e9-4db5-a2b9-d57a5766c79e-110027005040853050]} | ret=SUCCESS |  
2023-03-15 11:14:28,056 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=GET_KEY {bucket=[encrypted], path=[ozone-test-3262310711/multipartKey1]} | ret=SUCCESS |  
2023-03-15 11:14:30,325 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=INIT_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-9930001675/multipartKey2], uploads=[]} | ret=SUCCESS |  
2023-03-15 11:14:31,794 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-9930001675/multipartKey2], uploadId=[20f4f475-669a-46b0-b645-81cea6873acf-110027005645226045], partNumber=[1]} | ret=SUCCESS |  
2023-03-15 11:14:33,118 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-9930001675/multipartKey2], uploadId=[20f4f475-669a-46b0-b645-81cea6873acf-110027005645226045], partNumber=[2]} | ret=SUCCESS |  
2023-03-15 11:14:34,362 | ERROR | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-9930001675/multipartKey2], uploadId=[20f4f475-669a-46b0-b645-81cea6873acf-110027005645226045]} | ret=FAILURE | ENTITY_TOO_SMALL org.apache.hadoop.ozone.om.exceptions.OMException: Complete Multipart Upload Failed: volume: s3v bucket: encrypted key: ozone-test-9930001675/multipartKey2. Entity too small.
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:709)
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.completeMultipartUpload(OzoneManagerProtocolClientSideTranslatorPB.java:1455) 
2023-03-15 11:14:35,454 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=INIT_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-5707974293/multipartKey3], uploads=[]} | ret=SUCCESS |  
2023-03-15 11:14:36,813 | ERROR | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-5707974293/multipartKey3], uploadId=[9c334563-9032-4f02-b3cc-c66a071eefec-110027005981491264]} | ret=FAILURE | INVALID_PART org.apache.hadoop.ozone.om.exceptions.OMException: Complete Multipart Upload Failed: volume: s3v bucket: encrypted key: ozone-test-5707974293/multipartKey3
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:709)
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.completeMultipartUpload(OzoneManagerProtocolClientSideTranslatorPB.java:1455) 
2023-03-15 11:14:38,010 | ERROR | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-5707974293/multipartKey3], uploadId=[9c334563-9032-4f02-b3cc-c66a071eefec-110027005981491264]} | ret=FAILURE | INVALID_PART org.apache.hadoop.ozone.om.exceptions.OMException: Complete Multipart Upload Failed: volume: s3v bucket: encrypted key: ozone-test-5707974293/multipartKey3
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:709)
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.completeMultipartUpload(OzoneManagerProtocolClientSideTranslatorPB.java:1455) 
2023-03-15 11:14:39,908 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-5707974293/multipartKey3], uploadId=[9c334563-9032-4f02-b3cc-c66a071eefec-110027005981491264], partNumber=[1]} | ret=SUCCESS |  
2023-03-15 11:14:41,852 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-5707974293/multipartKey3], uploadId=[9c334563-9032-4f02-b3cc-c66a071eefec-110027005981491264], partNumber=[2]} | ret=SUCCESS |  
2023-03-15 11:14:43,500 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-5707974293/multipartKey3], uploadId=[9c334563-9032-4f02-b3cc-c66a071eefec-110027005981491264], partNumber=[3]} | ret=SUCCESS |  
2023-03-15 11:14:44,722 | ERROR | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-5707974293/multipartKey3], uploadId=[9c334563-9032-4f02-b3cc-c66a071eefec-110027005981491264]} | ret=FAILURE | INVALID_PART org.apache.hadoop.ozone.om.exceptions.OMException: Complete Multipart Upload Failed: volume: s3v bucket: encrypted key: ozone-test-5707974293/multipartKey3. Provided Part info is { etag1, 1}, whereas OM has partName /s3v/encrypted/ozone-test-5707974293/multipartKey3-9c334563-9032-4f02-b3cc-c66a071eefec-110027005981491264-1
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:709)
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.completeMultipartUpload(OzoneManagerProtocolClientSideTranslatorPB.java:1455) 
2023-03-15 11:14:45,943 | ERROR | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-5707974293/multipartKey3], uploadId=[9c334563-9032-4f02-b3cc-c66a071eefec-110027005981491264]} | ret=FAILURE | INVALID_PART org.apache.hadoop.ozone.om.exceptions.OMException: Complete Multipart Upload Failed: volume: s3v bucket: encrypted key: ozone-test-5707974293/multipartKey3. Provided Part info is { etag2, 2}, whereas OM has partName /s3v/encrypted/ozone-test-5707974293/multipartKey3-9c334563-9032-4f02-b3cc-c66a071eefec-110027005981491264-2
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:709)
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.completeMultipartUpload(OzoneManagerProtocolClientSideTranslatorPB.java:1455) 
2023-03-15 11:14:47,307 | ERROR | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-5707974293/multipartKey3], uploadId=[9c334563-9032-4f02-b3cc-c66a071eefec-110027005981491264]} | ret=FAILURE | INVALID_PART_ORDER org.apache.hadoop.ozone.om.exceptions.OMException: Complete Multipart Upload Failed: volume: s3v bucket: encrypted key: ozone-test-5707974293/multipartKey3 because parts are in Invalid order.
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:709)
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.completeMultipartUpload(OzoneManagerProtocolClientSideTranslatorPB.java:1455) 
2023-03-15 11:14:48,540 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-5707974293/multipartKey3], uploadId=[9c334563-9032-4f02-b3cc-c66a071eefec-110027005981491264]} | ret=SUCCESS |  
2023-03-15 11:14:49,775 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=GET_KEY {bucket=[encrypted], path=[ozone-test-5707974293/multipartKey3]} | ret=SUCCESS |  
2023-03-15 11:14:51,970 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=INIT_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-0943919020/multipartKey4], uploads=[]} | ret=SUCCESS |  
2023-03-15 11:14:54,454 | ERROR | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=ABORT_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-7888461914/multipartKey5], uploadId=[random]} | ret=FAILURE | org.apache.hadoop.ozone.s3.exception.OS3Exception
	at org.apache.hadoop.ozone.s3.exception.S3ErrorTable.newError(S3ErrorTable.java:142)
	at org.apache.hadoop.ozone.s3.endpoint.ObjectEndpoint.abortMultipartUpload(ObjectEndpoint.java:515) 
2023-03-15 11:14:55,806 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=INIT_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-2580766107/multipartKey5], uploads=[]} | ret=SUCCESS |  
2023-03-15 11:15:00,395 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-2580766107/multipartKey5], uploadId=[eabb1185-4267-46f6-8d5c-b41f2b35fbbe-110027007315214405], partNumber=[1]} | ret=SUCCESS |  
2023-03-15 11:15:01,935 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-2580766107/multipartKey5], uploadId=[eabb1185-4267-46f6-8d5c-b41f2b35fbbe-110027007315214405], partNumber=[2]} | ret=SUCCESS |  
2023-03-15 11:15:03,405 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=LIST_PARTS {bucket=[encrypted], path=[ozone-test-2580766107/multipartKey5], uploadId=[eabb1185-4267-46f6-8d5c-b41f2b35fbbe-110027007315214405]} | ret=SUCCESS |  
2023-03-15 11:15:04,869 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=LIST_PARTS {bucket=[encrypted], path=[ozone-test-2580766107/multipartKey5], uploadId=[eabb1185-4267-46f6-8d5c-b41f2b35fbbe-110027007315214405]} | ret=SUCCESS |  
2023-03-15 11:15:06,254 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=LIST_PARTS {bucket=[encrypted], path=[ozone-test-2580766107/multipartKey5], uploadId=[eabb1185-4267-46f6-8d5c-b41f2b35fbbe-110027007315214405]} | ret=SUCCESS |  
2023-03-15 11:15:08,845 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=INIT_MULTIPART_UPLOAD {bucket=[encrypted], path=[mpyawscli], uploads=[]} | ret=SUCCESS |  
2023-03-15 11:15:11,521 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[mpyawscli], uploadId=[545cafe8-3992-49fb-b108-755d381d8c7e-110027008169803848], partNumber=[3]} | ret=SUCCESS |  
2023-03-15 11:15:11,625 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[mpyawscli], uploadId=[545cafe8-3992-49fb-b108-755d381d8c7e-110027008169803848], partNumber=[1]} | ret=SUCCESS |  
2023-03-15 11:15:11,678 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[mpyawscli], uploadId=[545cafe8-3992-49fb-b108-755d381d8c7e-110027008169803848], partNumber=[2]} | ret=SUCCESS |  
2023-03-15 11:15:11,726 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[encrypted], path=[mpyawscli], uploadId=[545cafe8-3992-49fb-b108-755d381d8c7e-110027008169803848]} | ret=SUCCESS |  
2023-03-15 11:15:13,520 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=HEAD_KEY {bucket=[encrypted], path=[mpyawscli]} | ret=SUCCESS |  
2023-03-15 11:15:13,598 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=GET_KEY {bucket=[encrypted], path=[mpyawscli]} | ret=SUCCESS |  
2023-03-15 11:15:13,629 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=GET_KEY {bucket=[encrypted], path=[mpyawscli]} | ret=SUCCESS |  
2023-03-15 11:15:13,714 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=GET_KEY {bucket=[encrypted], path=[mpyawscli]} | ret=SUCCESS |  
2023-03-15 11:15:17,986 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=DELETE_KEY {bucket=[encrypted], path=[mpyawscli]} | ret=SUCCESS |  
2023-03-15 11:15:20,343 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_KEY {bucket=[encrypted], path=[ozone-test-9194550444/copytest/source]} | ret=SUCCESS |  
2023-03-15 11:15:24,444 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=INIT_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-9194550444/copytest/destination], uploads=[]} | ret=SUCCESS |  
2023-03-15 11:15:26,838 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-9194550444/copytest/destination], uploadId=[a5d80baf-64b7-45a8-9cc7-1bf673b82bda-110027009192099917], partNumber=[1]} | ret=SUCCESS |  
2023-03-15 11:15:28,307 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-9194550444/copytest/destination], uploadId=[a5d80baf-64b7-45a8-9cc7-1bf673b82bda-110027009192099917]} | ret=SUCCESS |  
2023-03-15 11:15:29,725 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=GET_KEY {bucket=[encrypted], path=[ozone-test-9194550444/copytest/destination]} | ret=SUCCESS |  
2023-03-15 11:15:32,150 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_KEY {bucket=[encrypted], path=[ozone-test-3121786553/copyrange/source]} | ret=SUCCESS |  
2023-03-15 11:15:34,384 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=INIT_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-3121786553/copyrange/destination], uploads=[]} | ret=SUCCESS |  
2023-03-15 11:15:37,370 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-3121786553/copyrange/destination], uploadId=[7c5aad16-65cf-46d8-b4ab-1df16e995a51-110027009843396688], partNumber=[1]} | ret=SUCCESS |  
2023-03-15 11:15:39,165 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-3121786553/copyrange/destination], uploadId=[7c5aad16-65cf-46d8-b4ab-1df16e995a51-110027009843396688], partNumber=[2]} | ret=SUCCESS |  
2023-03-15 11:15:40,570 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-3121786553/copyrange/destination], uploadId=[7c5aad16-65cf-46d8-b4ab-1df16e995a51-110027009843396688]} | ret=SUCCESS |  
2023-03-15 11:15:41,869 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=GET_KEY {bucket=[encrypted], path=[ozone-test-3121786553/copyrange/destination]} | ret=SUCCESS |  
2023-03-15 11:15:45,130 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_KEY {bucket=[encrypted], path=[ozone-test-8819505871/copyrange/source]} | ret=SUCCESS |  
2023-03-15 11:15:47,094 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=INIT_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-8819505871/copyrange/destination], uploads=[]} | ret=SUCCESS |  
2023-03-15 11:15:48,562 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=HEAD_KEY {bucket=[encrypted], path=[ozone-test-8819505871/copyrange/source]} | ret=SUCCESS |  
2023-03-15 11:15:50,182 | ERROR | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-8819505871/copyrange/destination], uploadId=[67e47194-03e4-461d-bd91-7e12ff61a48f-110027010676555860], partNumber=[1]} | ret=FAILURE | org.apache.hadoop.ozone.s3.exception.OS3Exception
	at org.apache.hadoop.ozone.s3.exception.S3ErrorTable.newError(S3ErrorTable.java:142)
	at org.apache.hadoop.ozone.s3.exception.S3ErrorTable.newError(S3ErrorTable.java:129) 
2023-03-15 11:15:51,593 | ERROR | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-8819505871/copyrange/destination], uploadId=[67e47194-03e4-461d-bd91-7e12ff61a48f-110027010676555860], partNumber=[2]} | ret=FAILURE | org.apache.hadoop.ozone.s3.exception.OS3Exception
	at org.apache.hadoop.ozone.s3.exception.S3ErrorTable.newError(S3ErrorTable.java:142)
	at org.apache.hadoop.ozone.s3.exception.S3ErrorTable.newError(S3ErrorTable.java:129) 
2023-03-15 11:15:54,121 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-8819505871/copyrange/destination], uploadId=[67e47194-03e4-461d-bd91-7e12ff61a48f-110027010676555860], partNumber=[1]} | ret=SUCCESS |  
2023-03-15 11:15:55,870 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-8819505871/copyrange/destination], uploadId=[67e47194-03e4-461d-bd91-7e12ff61a48f-110027010676555860], partNumber=[2]} | ret=SUCCESS |  
2023-03-15 11:15:58,775 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_MULTIPART_KEY {bucket=[encrypted], path=[ozone-test-8819505871/copyrange/destination], uploadId=[67e47194-03e4-461d-bd91-7e12ff61a48f-110027010676555860], partNumber=[1]} | ret=SUCCESS |  
2023-03-15 11:16:00,434 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-8819505871/copyrange/destination], uploadId=[67e47194-03e4-461d-bd91-7e12ff61a48f-110027010676555860]} | ret=SUCCESS |  
2023-03-15 11:16:01,735 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=GET_KEY {bucket=[encrypted], path=[ozone-test-8819505871/copyrange/destination]} | ret=SUCCESS |  
2023-03-15 11:16:04,082 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=INIT_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-4908657015/listtest/key1], uploads=[]} | ret=SUCCESS |  
2023-03-15 11:16:05,297 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=INIT_MULTIPART_UPLOAD {bucket=[encrypted], path=[ozone-test-4908657015/listtest/key2], uploads=[]} | ret=SUCCESS |  
2023-03-15 11:16:06,592 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=LIST_MULTIPART_UPLOAD {bucket=[encrypted], prefix=[ozone-test-4908657015/listtest], uploads=[]} | ret=SUCCESS |  
2023-03-15 11:16:36,944 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[destbucket-59236]} | ret=SUCCESS |  
2023-03-15 11:16:38,168 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_KEY {bucket=[encrypted], path=[ozone-test-4109018377/copyobject/key=value/f1]} | ret=SUCCESS |  
2023-03-15 11:16:39,594 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=GET_BUCKET {bucket=[encrypted], encoding-type=[url], prefix=[ozone-test-4109018377/copyobject/key=value/]} | ret=SUCCESS |  
2023-03-15 11:16:40,947 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=COPY_OBJECT {bucket=[destbucket-59236], path=[ozone-test-4109018377/copyobject/key=value/f1]} | ret=SUCCESS |  
2023-03-15 11:16:42,193 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=GET_BUCKET {bucket=[destbucket-59236], encoding-type=[url], prefix=[ozone-test-4109018377/copyobject/key=value/]} | ret=SUCCESS |  
